[0.025, 0.0]
[0.07500000000000001, 0.0]
[0.125, 0.0]
[0.17500000000000002, 0.0]
[0.225, 0.0]
[0.275, 0.0]
[0.32500000000000007, 0.0]
[0.375, 0.0]
[0.42500000000000004, 0.0]
[0.475, 0.0]
[0.525, 0.0]
[0.5750000000000001, 0.0]
[0.625, 0.0]
[0.675, 0.0]
[0.7250000000000001, 0.0]
[0.775, 0.0]
[0.8250000000000001, 0.0]
[0.875, 0.0]
[0.925, 0.0]
[0.9750000000000001, 0.0]
[1.025, 0.0]
[1.0750000000000002, 0.0]
[1.125, 0.0]
[1.1750000000000003, 0.0]
[1.225, 0.0]
[1.275, 0.0]
[1.3250000000000002, 0.0]
[1.375, 0.0]
[1.4250000000000003, 0.0]
[1.475, 0.0]
[1.525, 0.0]
[1.5750000000000002, 0.0]
[1.625, 0.0]
[1.6750000000000003, 0.0]
[1.725, 0.0]
[1.775, 0.0]
[1.8250000000000002, 0.0]
[1.875, 0.0]
[1.9250000000000003, 0.0]
[1.975, 0.0]
[2.0250000000000004, 0.0]
[2.075, 0.0]
[2.125, 0.0]
[2.175, 0.0]
[2.225, 0.0]
[2.2750000000000004, 0.0]
[2.325, 0.0]
[2.375, 0.0]
[2.4250000000000003, 0.0]
[2.475, 0.0]
[2.5250000000000004, 0.0]
[2.575, 0.0]
[2.625, 0.0]
[2.6750000000000003, 0.0]
[2.725, 0.0]
[2.7750000000000004, 0.0]
[2.825, 0.0]
[2.875, 0.0]
[2.9250000000000003, 0.0]
[2.975, 0.0]
[3.0250000000000004, 0.0]
[3.075, 0.00012897871860814263]
[3.125, 0.0013733683484260769]
[3.1750000000000003, 0.011729199233627396]
[3.225, 0.04897721225373417]
[3.2750000000000004, 0.15176005414273022]
[3.325, 0.3411071390654327]
[3.375, 0.6848809033845784]
[3.4250000000000003, 1.128001123739984]
[3.475, 1.5681134540123116]
[3.5250000000000004, 2.0290257110546075]
[3.575, 2.3769902032787975]
[3.625, 2.6133215145577866]
[3.6750000000000003, 2.757997853420543]
[3.725, 2.770727004145285]
[3.7750000000000004, 2.7223325350396665]
[3.825, 2.602888034775035]
[3.875, 2.4550971826897188]
[3.9250000000000003, 2.296942186734895]
[3.975, 2.1028169696401044]
[4.025, 1.9572887533545928]
[4.075, 1.7699834872022173]
[4.125, 1.6198701787624477]
[4.175000000000001, 1.5062509020139607]
[4.225, 1.391361144141586]
