[0.025, 0.0]
[0.07500000000000001, 0.0]
[0.125, 0.0]
[0.17500000000000002, 0.0]
[0.225, 0.0]
[0.275, 0.0]
[0.32500000000000007, 0.0]
[0.375, 0.0]
[0.42500000000000004, 0.0]
[0.475, 0.0]
[0.525, 0.0]
[0.5750000000000001, 0.0]
[0.625, 0.0]
[0.675, 0.0]
[0.7250000000000001, 0.0]
[0.775, 0.0]
[0.8250000000000001, 0.0]
[0.875, 0.0]
[0.925, 0.0]
[0.9750000000000001, 0.0]
[1.025, 0.0]
[1.0750000000000002, 0.0]
[1.125, 0.0]
[1.1750000000000003, 0.0]
[1.225, 0.0]
[1.275, 0.0]
[1.3250000000000002, 0.0]
[1.375, 0.0]
[1.4250000000000003, 0.0]
[1.475, 0.0]
[1.525, 0.0]
[1.5750000000000002, 0.0]
[1.625, 0.0]
[1.6750000000000003, 0.0]
[1.725, 0.0]
[1.775, 0.0]
[1.8250000000000002, 0.0]
[1.875, 0.0]
[1.9250000000000003, 0.0]
[1.975, 0.0]
[2.0250000000000004, 0.0]
[2.075, 0.0]
[2.125, 0.0]
[2.175, 0.0]
[2.225, 0.0]
[2.2750000000000004, 0.0]
[2.325, 0.0]
[2.375, 0.0]
[2.4250000000000003, 0.0]
[2.475, 0.0]
[2.5250000000000004, 0.0]
[2.575, 0.0]
[2.625, 0.0]
[2.6750000000000003, 0.0]
[2.725, 0.0]
[2.7750000000000004, 0.0]
[2.825, 0.0]
[2.875, 0.0]
[2.9250000000000003, 0.0]
[2.975, 0.0]
[3.0250000000000004, 0.0]
[3.075, 0.0005159148744325705]
[3.125, 0.007740803418401521]
[3.1750000000000003, 0.044014727021034816]
[3.225, 0.13966707417811272]
[3.2750000000000004, 0.377809835388264]
[3.325, 0.8073750371677934]
[3.375, 1.4022631796428537]
[3.4250000000000003, 2.1015611661287465]
[3.475, 2.746517046028508]
[3.5250000000000004, 3.4163167021425296]
[3.575, 3.894657557404937]
[3.625, 4.1714269804075705]
[3.6750000000000003, 4.257497078193662]
[3.725, 4.193864382943001]
[3.7750000000000004, 4.130894537765397]
[3.825, 3.9070740334288336]
[3.875, 3.6412822837492325]
[3.9250000000000003, 3.4006860934865455]
[3.975, 3.127195278383058]
[4.025, 2.858281986240518]
[4.075, 2.584788878942744]
[4.125, 2.429484077757927]
[4.175000000000001, 2.1659192703211687]
[4.225, 2.0173920382889845]
