[0.025, 0.0]
[0.07500000000000001, 0.0]
[0.125, 0.0]
[0.17500000000000002, 0.0]
[0.225, 0.0]
[0.275, 0.0]
[0.32500000000000007, 0.0]
[0.375, 0.0]
[0.42500000000000004, 0.0]
[0.475, 0.0]
[0.525, 0.0]
[0.5750000000000001, 0.0]
[0.625, 0.0]
[0.675, 0.0]
[0.7250000000000001, 0.0]
[0.775, 0.0]
[0.8250000000000001, 0.0]
[0.875, 0.0]
[0.925, 0.0]
[0.9750000000000001, 0.0]
[1.025, 0.0]
[1.0750000000000002, 0.0]
[1.125, 0.0]
[1.1750000000000003, 0.0]
[1.225, 0.0]
[1.275, 0.0]
[1.3250000000000002, 0.0]
[1.375, 0.0]
[1.4250000000000003, 0.0]
[1.475, 0.0]
[1.525, 0.0]
[1.5750000000000002, 0.0]
[1.625, 0.0]
[1.6750000000000003, 0.0]
[1.725, 0.0]
[1.775, 0.0]
[1.8250000000000002, 0.0]
[1.875, 0.0]
[1.9250000000000003, 0.0]
[1.975, 0.0]
[2.0250000000000004, 0.0]
[2.075, 0.0]
[2.125, 0.0]
[2.175, 0.0]
[2.225, 0.0]
[2.2750000000000004, 0.0]
[2.325, 0.0]
[2.375, 0.0]
[2.4250000000000003, 0.0]
[2.475, 0.0]
[2.5250000000000004, 0.0]
[2.575, 0.0]
[2.625, 0.0]
[2.6750000000000003, 0.0]
[2.725, 0.0]
[2.7750000000000004, 0.0]
[2.825, 0.0]
[2.875, 0.0]
[2.9250000000000003, 0.0]
[2.975, 0.0005514849893029576]
[3.0250000000000004, 0.004799298119408945]
[3.075, 0.02012068010287023]
[3.125, 0.07915595753655753]
[3.1750000000000003, 0.19540604084063792]
[3.225, 0.42790617021683675]
[3.2750000000000004, 0.7381263711223499]
[3.325, 1.1676529262969808]
[3.375, 1.604541460817319]
[3.4250000000000003, 1.9913350717772684]
[3.475, 2.2771716974889498]
[3.5250000000000004, 2.5814347190845344]
[3.575, 2.704591568660395]
[3.625, 2.765706636173282]
[3.6750000000000003, 2.7356629700725734]
[3.725, 2.6711652316170054]
[3.7750000000000004, 2.5567247545992617]
[3.825, 2.471771476041872]
[3.875, 2.2944999914448654]
[3.9250000000000003, 2.1756187069904662]
[3.975, 2.029377942175985]
[4.025, 1.90637119986899]
[4.075, 1.7355303639856106]
[4.125, 1.6409259929389153]
[4.175000000000001, 1.5620534538160598]
